Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
John Brisker,(Heavyweight Champion of the NBA),Position: Small Forward and Shooting Guard ? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: June 15, 1947 in Detroit, Michigan us",Died: April 1978,,,,,,John Brisker,,,
Oshae Brissett,Oshae Jahve Brissett ? Twitter: Obrissy ? Instagram: obrissy,Position: Small Forward and Power Forward ? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: June 20, 1998 (Age: 25-121d) in Toronto, Ontario ca",College: Syracuse,"High School: Athlete Institute in Mono, Canada","NBA Debut: November 18, 2019",Experience: 4 years,,,,,,
Allan Bristow,(Disco),Position: Small Forward ? Shoots: Left,"6-7, 210lb (201cm, 95kg)","Born: August 23, 1951 (Age: 72-057d) in Richmond, Virginia us",College: Virginia Tech,"High School: Henrico in Richmond, Virginia","Draft: Philadelphia 76ers, 2nd round (3rd pick, 21st overall), 1973 NBA Draft","NBA Debut: October 13, 1973 ? ABA Debut: November 8, 1975",Career Length: 10 years,,Allan Mercer Bristow Jr.,,,
Tyrone Britt,Position: Shooting Guard ? Shoots: Right,"6-4, 190lb (193cm, 86kg)","Born: April 18, 1944 (Age: 79-184d)",College: Johnson C. Smith University,"High School: Thomas Edison in Philadelphia, Pennsylvania","NBA Debut: February 25, 1968",Career Length: 1 year,,,,Tyrone Britt,,,
Wayman Britt,Position: Shooting Guard ? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: August 31, 1952 (Age: 71-049d) in Wilson's Mills, North Carolina us",College: Michigan,"High School: Flint Northern in Flint, Michigan","Draft: Los Angeles Lakers, 4th round (9th pick, 60th overall), 1976 NBA Draft","NBA Debut: October 18, 1977",Career Length: 1 year,,,Wayman P. Britt,,,
Mike Brittain,Position: Center ? Shoots: Right,"7-0, 235lb (213cm, 106kg)","Born: June 21, 1963 in Clearwater, Florida us","Died: October 17, 1995 (Aged 32-118d)",College: South Carolina,"High School: Clearwater in Clearwater, Florida","Draft: San Antonio Spurs, 2nd round (5th pick, 29th overall), 1985 NBA Draft","NBA Debut: October 29, 1985",Career Length: 2 years,,Michael James Brittain,,,
Dave Britton,Position: Point Guard ? Shoots: Right,"6-4, 180lb (193cm, 81kg)","Born: August 29, 1958 (Age: 65-051d) in New York, New York us",College: Texas A&M,"High School: Kennedy in Bronx, New York","Draft: Dallas Mavericks, 3rd round (11th pick, 57th overall), 1980 NBA Draft","NBA Debut: December 23, 1980",Career Length: 1 year,,,David Britton,,,
Jon Brockman,(Brock Ness Monster),Position: Power Forward and Center ? Shoots: Right,"6-7, 255lb (201cm, 115kg)","Born: March 20, 1987 (Age: 36-213d) in Snohomish, Washington us",College: Washington,,,,,,,,,
Ryan Broekhoff,Ryan Broekhoff ? Twitter: RBroekhoff45 ? Instagram: rbroekhoff45,"(The Accountant, Rowdy)",Position: Small Forward and Shooting Guard ? Shoots: Right,"6-6, 215lb (198cm, 97kg)","Born: August 23, 1990 (Age: 33-057d) in Melbourne, Australia au",College: Valparaiso,"High School: The Peninsula School in Melbourne, Australia","NBA Debut: October 17, 2018",Career Length: 2 years,,,,,
Jim Brogan,Position: Shooting Guard ? Shoots: Right,"6-4, 185lb (193cm, 83kg)","Born: February 24, 1958 (Age: 65-237d) in Ardmore, Pennsylvania us",College: West Virginia Wesleyan College,"High School: Lower Merion in Ardmore, Pennsylvania","NBA Debut: November 6, 1981",Career Length: 2 years,,,,James Riley Brogan,,,
Malcolm Brogdon,"(Humble Moses, The President, Uncle Malcolm, Mookie Dew)",Position: Point Guard and Shooting Guard ? Shoots: Right,"6-5, 229lb (196cm, 103kg)","Born: December 11, 1992 (Age: 30-312d) in Atlanta, Georgia us",College: Virginia,,,,,,,,,
Gary Brokaw,Position: Shooting Guard ? Shoots: Right,"6-4, 178lb (193cm, 80kg)","Born: January 11, 1954 (Age: 69-281d) in New Brunswick, New Jersey us",College: Notre Dame,"High School: New Brunswick in New Brunswick, New Jersey","Draft: Milwaukee Bucks, 1st round (18th pick, 18th overall), 1974 NBA Draft","NBA Debut: October 18, 1974",Career Length: 4 years,,,Gary George Brokaw,,,
Price Brookfield,Position: Forward/Guard ? Shoots: Right,"6-4, 185lb (193cm, 83kg)","Born: May 11, 1920 in Floydada, Texas us","Died: April 17, 2006 (Aged 85-341d)",College: West Texas A&M University,"High School: Friona in Friona, Texas","NBA Debut: November 1, 1948",Career Length: 2 years,,,Emery Price Brookfield,,,
Clarence Brookins,Position: Forward ? Shoots: Right,"6-4, 190lb (193cm, 86kg)",Born: 1946,College: Temple,"High School: John Bartram in Philadelphia, Pennsylvania","Draft: Philadelphia 76ers, 9th round (12th pick, 118th overall), 1968 NBA Draft","ABA Debut: October 18, 1970",Career Length: 1 year,,,Clarence Brookins,,,
Aaron Brooks,Position: Point Guard ? Shoots: Right,"6-0, 161lb (183cm, 73kg)","Born: January 14, 1985 (Age: 38-278d) in Seattle, Washington us",College: Oregon,"High School: Franklin in Seattle, Washington",,,,,,,,,
Armoni Brooks,Position: Point Guard and Shooting Guard ? Shoots: Right,"6-3, 195lb (190cm, 88kg)","Born: June 5, 1998 (Age: 25-136d) in Waco, Texas us",College: Houston,"High School: McNeil in Austin, Texas","NBA Debut: April 9, 2021",Experience: 2 years,,,,,,,
Dillon Brooks,Dillon Brooks ? Twitter: dillonbrooks24 ? Instagram: dillonbrooks24,Position: Small Forward and Shooting Guard ? Shoots: Right,"6-7, 225lb (201cm, 102kg)","Born: January 22, 1996 (Age: 27-270d) in Mississauga, Ontario ca",College: Oregon,,,,,,,,,
Kevin Brooks,Position: Small Forward ? Shoots: Right,"6-6, 200lb (198cm, 90kg)","Born: October 12, 1969 (Age: 54-007d) in Beaufort, South Carolina us",College: Louisiana,"High School: White Castle in White Castle, Louisiana","Draft: Milwaukee Bucks, 1st round (18th pick, 18th overall), 1991 NBA Draft","NBA Debut: November 2, 1991",Career Length: 3 years,,,Kevin Brooks,,,
MarShon Brooks,Position: Shooting Guard ? Shoots: Right,"6-5, 200lb (196cm, 90kg)","Born: January 26, 1989 (Age: 34-266d) in Long Branch, New Jersey us",College: Providence,"High School: Tucker in Tucker, Georgia","Draft: Boston Celtics, 1st round (25th pick, 25th overall), 2011 NBA Draft","NBA Debut: December 26, 2011",Career Length: 5 years,,,,,,
Michael Brooks,(Mike),Position: Small Forward ? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: August 17, 1958 in Philadelphia, Pennsylvania us","Died: August 22, 2016 (Aged 58-005d)",,,,,,,,,
Scott Brooks,(Wonderdog),Position: Point Guard ? Shoots: Right,"5-11, 165lb (180cm, 74kg)","Born: July 31, 1965 (Age: 58-080d) in French Camp, California us","Colleges: TCU, University of California, Irvine","High School: East Union in Manteca, California","NBA Debut: November 4, 1988",Career Length: 10 years,,,Scott William Brooks,,,
Andre Brown,Position: Power Forward ? Shoots: Right,"6-9, 245lb (206cm, 111kg)","Born: May 12, 1981 (Age: 42-160d) in Chicago, Illinois us",College: DePaul,"High School: Leo in Chicago, Illinois",Recruiting Rank: 2000 (11),"NBA Debut: January 5, 2007",Career Length: 3 years,,,,,,
Anthony Brown,(AB3),Position: Small Forward ? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: October 10, 1992 (Age: 31-009d) in Bellflower, California us",College: Stanford,,,,,,,,,
Bob Brown,Position: Forward ? Shoots: Right,"6-4, 205lb (193cm, 92kg)","Born: November 12, 1923 in Versailles, Ohio us","Died: July 28, 2016 (Aged 92-259d)",College: Miami University,Career Length: 2 years,,,,,Robert Edward Brown,,,
Bobby Brown,Position: Point Guard and Shooting Guard ? Shoots: Right,"6-2, 175lb (188cm, 79kg)","Born: September 24, 1984 (Age: 39-025d) in Los Angeles, California us",College: Cal State Fullerton,"High School: Westchester in Los Angeles, California","NBA Debut: October 31, 2008",Career Length: 4 years,,,,,,,
Bruce Brown,"(Cowboy Bruce, Biggie Smalls)","Position: Point Guard, Small Forward, and Shooting Guard ? Shoots: Right","6-4, 202lb (193cm, 91kg)","Born: August 15, 1996 (Age: 27-065d) in Boston, Massachusetts us",College: Miami (FL),,,,,,,,,
Charlie Brown Jr.,Position: Shooting Guard ? Shoots: Right,"6-6, 199lb (198cm, 90kg)","Born: February 2, 1997 (Age: 26-259d) in Philadelphia, Pennsylvania us",College: Saint Joseph's,"High School: St. Thomas More School in Oakdale, Connecticut","NBA Debut: November 6, 2019",Experience: 3 years,,,,,,,
Chaundee Brown Jr.,Chaundee Dwaine Brown Jr. ? Twitter: cbrownballin935 ? Instagram: chaundeebrown_23,Position: Shooting Guard and Small Forward ? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: December 4, 1998 (Age: 24-319d) in Orlando, Florida us","Colleges: Wake Forest, Michigan","High Schools: Dr. Phillips in Dr. Phillips, Florida, The First Academy in Orlando, Florida",Recruiting Rank: 2017 (34),"NBA Debut: December 17, 2021",Experience: 1 year,,,,,
Chucky Brown,(Wild Thing),Position: Small Forward and Power Forward ? Shoots: Right,"6-7, 214lb (201cm, 97kg)","Born: February 29, 1968 (Age: 55-232d) in New York, New York us",College: NC State,,,,,,Clarence Brown,,,
Damone Brown,Position: Power Forward and Small Forward ? Shoots: Right,"6-9, 200lb (206cm, 90kg)","Born: June 28, 1979 (Age: 44-113d) in Buffalo, New York us",College: Syracuse,"High School: Seneca Vocational in Buffalo, New York","Draft: Philadelphia 76ers, 2nd round (8th pick, 37th overall), 2001 NBA Draft","NBA Debut: October 30, 2001",Career Length: 4 years,,,Damone Lamar Brown,,,
Darrel Brown,Position: Forward ? Shoots: Right,"6-2, 175lb (188cm, 79kg)","Born: March 14, 1923 in Eureka, California us","Died: October 7, 1990 (Aged 67-207d)",College: Humboldt State University,"Draft: Baltimore Bullets, 3rd round, 1948 BAA Draft",Career Length: 1 year,,,,Darrel Brown,,,
Dee Brown,(The One Man Fastbreak),Position: Point Guard ? Shoots: Right,"6-0, 185lb (183cm, 83kg)","Born: August 17, 1984 (Age: 39-063d) in Jackson, Mississippi us",College: Illinois,,,,,,,,,
Derrick Brown,Position: Small Forward ? Shoots: Left,"6-7, 225lb (201cm, 102kg)","Born: September 8, 1987 (Age: 36-041d) in Oakland, California us",College: Xavier,"High School: Chaminade Julienne in Dayton, Ohio","Draft: Charlotte Bobcats, 2nd round (10th pick, 40th overall), 2009 NBA Draft","NBA Debut: October 28, 2009",Career Length: 3 years,,,,,,
Devin Brown,Position: Shooting Guard ? Shoots: Right,"6-5, 220lb (196cm, 99kg)","Born: December 30, 1978 (Age: 44-293d) in Salt Lake City, Utah us",College: Texas-San Antonio,"High School: South San Antonio West Campus in San Antonio, Texas","NBA Debut: November 4, 2002",Career Length: 8 years,,,,Devin LaVell Brown,,,
Ernest Brown,Position: Center ? Shoots: Right,"7-0, 244lb (213cm, 110kg)","Born: May 17, 1979 (Age: 44-155d) in Bronx, New York us",College: Indian Hills Community College,"High School: St. Raymond in Bronx, New York",Recruiting Rank: 1998 (66),"Draft: Miami Heat, 2nd round (23rd pick, 52nd overall), 2000 NBA Draft","NBA Debut: November 15, 2001",Career Length: 1 year,,Ernest Brown,,,
Fred Brown,"(Downtown, Freddie)",Position: Shooting Guard and Point Guard ? Shoots: Right,"6-3, 182lb (190cm, 82kg)","Born: August 7, 1948 (Age: 75-073d) in Milwaukee, Wisconsin us",College: Iowa,,,,,,,,,
George Brown,Position: Forward ? Shoots: Right,"6-6, 190lb (198cm, 86kg)","Born: October 30, 1935",Died: September 2016,College: Wayne State University,"High School: Cass Technical in Detroit, Michigan","Draft: Minneapolis Lakers, 4th round (3rd pick, 27th overall), 1957 NBA Draft","NBA Debut: October 30, 1957",Career Length: 1 year,,George Raff Brown,,,
Gerald Brown,Position: Shooting Guard ? Shoots: Right,"6-4, 210lb (193cm, 95kg)","Born: July 28, 1975 (Age: 48-083d) in Los Angeles, California us",College: Pepperdine,"High School: Carl Hayden in Phoenix, Arizona","NBA Debut: February 5, 1999",Career Length: 1 year,,,,Gerald Brown,,,
Greg Brown III,Gregory James Brown III ? Twitter: gb3elite ? Instagram: greg.brown03,Position: Power Forward and Small Forward ? Shoots: Right,"6-9, 205lb (206cm, 92kg)","Born: September 1, 2001 (Age: 22-048d) in Dallas, Texas us",College: Texas,,,,,,,,,
Harold Brown,"(Hal, Brownie)",Position: Guard ? Shoots: Right,"6-0, 155lb (183cm, 70kg)","Born: October 2, 1923","Died: September 15, 1980 (Aged 56-349d)",College: University of Evansville,Career Length: 1 year,,,,Harold V. Brown,,,
Jabari Brown,Position: Shooting Guard ? Shoots: Right,"6-4, 215lb (193cm, 97kg)","Born: December 18, 1992 (Age: 30-305d) in Oakland, California us","Colleges: Oregon, Missouri","High School: Oakland in Oakland, California",Recruiting Rank: 2011 (16),"NBA Debut: March 12, 2015",Career Length: 1 year,,,,,,
Jaylen Brown,"(JB, Old Man)",Position: Shooting Guard and Small Forward ? Shoots: Right,"6-6, 223lb (198cm, 101kg)","Born: October 24, 1996 (Age: 26-360d) in Marietta, Georgia us",College: California,,,,,,,,,
John Brown,Position: Small Forward and Power Forward ? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: December 14, 1951 (Age: 71-309d) in Frankfurt, Germany de",College: Missouri,"High School: Dixon in Dixon, Missouri","Draft: Atlanta Hawks, 1st round (10th pick, 10th overall), 1973 NBA Draft","NBA Debut: October 9, 1973",Career Length: 7 years,,,John Young Brown,,,
Kedrick Brown,Albert Kedrick Brown,Position: Small Forward ? Shoots: Right,"6-7, 222lb (201cm, 100kg)","Born: March 18, 1981 (Age: 42-215d) in Zachary, Louisiana us",College: Okaloosa-Walton Community College,"High School: Zachary in Zachary, Louisiana","Draft: Boston Celtics, 1st round (11th pick, 11th overall), 2001 NBA Draft","NBA Debut: October 30, 2001",Career Length: 4 years,,Pronunciation: \KEE-drick\,,,
Kendall Brown,Position: Shooting Guard ? Shoots: Right,"6-8, 205lb (203cm, 92kg)","Born: May 11, 2003 (Age: 20-161d) in St. Paul, Minnesota us",College: Baylor,"High Schools: East Ridge in Woodbury, Minnesota, Sunrise Christian Academy in Bel Aire, Kansas",Recruiting Rank: 2021 (10),"Draft: Minnesota Timberwolves, 2nd round (18th pick, 48th overall), 2022 NBA Draft","NBA Debut: November 23, 2022",Experience: 1 year,,,,,
Kwame Brown,Kwame Hasani Brown,(Coffee),Position: Center and Power Forward ? Shoots: Right,"6-11, 270lb (211cm, 122kg)","Born: March 10, 1982 (Age: 41-223d) in Charleston, South Carolina us",,,,,,,,,
Larry Brown,"(Next Town Brown, Little General)",Position: Point Guard ? Shoots: Right,"5-9, 160lb (175cm, 72kg)","Born: September 14, 1940 (Age: 83-035d) in Brooklyn, New York us",College: UNC,,,,,,Lawrence Harvey Brown,,,
Leon Brown,(Stretch),Position: Forward ? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: October 12, 1919 in Hastings, Nebraska us","Died: October 14, 1990 (Aged 71-002d)",College: Wyoming,"High School: Cheyenne in Cheyenne, Wyoming",Career Length: 1 year,,,Leon S. Brown,,,
Lewis Brown,Position: Center ? Shoots: Left,"6-11, 225lb (211cm, 102kg)","Born: February 19, 1955 in Los Angeles, California us","Died: September 14, 2011 (Aged 56-207d)",College: UNLV,"High School: Verbum Dei in Los Angeles, California","Draft: Milwaukee Bucks, 4th round (3rd pick, 69th overall), 1977 NBA Draft","NBA Debut: January 15, 1981",Career Length: 1 year,,Lewis Brown,,,
Lorenzo Brown,Position: Point Guard ? Shoots: Right,"6-5, 189lb (196cm, 85kg)","Born: August 26, 1990 (Age: 33-054d) in Roswell, Georgia us",College: NC State,"High Schools: Centennial in Roswell, Georgia, Hargrave Military Academy in Chatham, Virginia","Recruiting Rank: 2009 (26), 2010 (56)","Draft: Minnesota Timberwolves, 2nd round (22nd pick, 52nd overall), 2013 NBA Draft","NBA Debut: November 20, 2013",Career Length: 5 years,,,,,
Marcus Brown,Position: Shooting Guard and Point Guard ? Shoots: Right,"6-3, 185lb (190cm, 83kg)","Born: April 3, 1974 (Age: 49-199d) in West Memphis, Arkansas us",College: Murray State,"High School: West Memphis in West Memphis, Arkansas","Draft: Portland Trail Blazers, 2nd round (17th pick, 46th overall), 1996 NBA Draft","NBA Debut: December 29, 1996",Career Length: 2 years,,,Marcus James Brown,,,
Markel Brown,Demarious Markel Brown ? Twitter: iMarkelBrown22,Position: Shooting Guard ? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: January 29, 1992 (Age: 31-263d) in Pineville, Louisiana us",College: Oklahoma State,"High School: Peabody in Alexandria, Louisiana","Draft: Minnesota Timberwolves, 2nd round (14th pick, 44th overall), 2014 NBA Draft","NBA Debut: November 22, 2014",Career Length: 3 years,,,,,
Mike Brown,"(Bear, The New Washington Monument)",Position: Center ? Shoots: Right,"6-9, 257lb (206cm, 116kg)","Born: July 19, 1963 (Age: 60-092d) in Newark, New Jersey us",College: George Washington,"High School: Clifford J. Scott in East Orange, New Jersey","Draft: Chicago Bulls, 3rd round (22nd pick, 69th overall), 1985 NBA Draft","NBA Debut: November 1, 1986",Career Length: 12 years,,Michael Brown,,,
Moses Brown,Position: Center ? Shoots: Right,"7-2, 245lb (218cm, 111kg)","Born: October 13, 1999 (Age: 24-006d) in New York, New York us",College: UCLA,"High School: Archbishop Molloy in Queens, New York",Recruiting Rank: 2018 (24),"NBA Debut: November 10, 2019",Experience: 4 years,,,,,,
Myron Brown,Position: Point Guard ? Shoots: Right,"6-3, 180lb (190cm, 81kg)","Born: November 3, 1969 (Age: 53-350d) in McKees Rocks, Pennsylvania us",College: Slippery Rock University of Pennsylvania,"High School: Sto-Rox in McKees Rocks, Pennsylvania","Draft: Minnesota Timberwolves, 2nd round (7th pick, 34th overall), 1991 NBA Draft","NBA Debut: November 17, 1991",Career Length: 1 year,,,Julian Myron Brown,,,
P.J. Brown,(Big Cat),Position: Power Forward and Center ? Shoots: Right,"6-11, 225lb (211cm, 102kg)","Born: October 14, 1969 (Age: 54-005d) in Detroit, Michigan us",College: Louisiana Tech,,,,,,,,,
Randy Brown,Position: Point Guard ? Shoots: Right,"6-2, 190lb (188cm, 86kg)","Born: May 22, 1968 (Age: 55-150d) in Chicago, Illinois us","Colleges: Houston, New Mexico State","High School: Collins in Chicago, Illinois","Draft: Sacramento Kings, 2nd round (4th pick, 31st overall), 1991 NBA Draft","NBA Debut: November 1, 1991",Career Length: 12 years,,,,,,
Raymond Brown,Position: Power Forward ? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: July 5, 1965 (Age: 58-106d) in Atlanta, Georgia us","Colleges: Mississippi State, Idaho","High School: Sylvan Hills in Atlanta, Georgia","NBA Debut: February 19, 1990",Career Length: 1 year,,,,Raymond Brown,,,
Rickey Brown,(Mr. October),Position: Center ? Shoots: Right,"6-10, 215lb (208cm, 97kg)","Born: August 20, 1958 (Age: 65-060d) in Madison County, Mississippi us",College: Mississippi State,"High School: West Fulton in Atlanta, Georgia","Draft: Golden State Warriors, 1st round (13th pick, 13th overall), 1980 NBA Draft","NBA Debut: October 10, 1980",Career Length: 5 years,,Rickey Darnell Brown,,,
Roger Brown,(Tripper),Position: Center ? Shoots: Right,"6-11, 225lb (211cm, 102kg)","Born: February 23, 1950 (Age: 73-238d) in Chicago, Illinois us",College: Kansas,,,,,,Walter Roger Brown,,,
Shannon Brown,Position: Shooting Guard ? Shoots: Right,"6-4, 205lb (193cm, 92kg)","Born: November 29, 1985 (Age: 37-324d) in Maywood, Illinois us",Relatives: Brother Sterling Brown,College: Michigan State,,,,,,,,,
