Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Bill Melchionni,"3x All Star
1967 NBA Champ
2x ABA Champ
1971-72 All-ABA",Career,646,10.6,2,5,45.9,23.6,80.9,46.2,13.8,28.8,
Scot Pollard,2008 NBA Champ,Career,506,4.4,4.6,0.4,49.4,0,70.9,49.4,13.8,26.6,
Jordan Poole,2022 NBA Champ,Career,266,15.8,2.6,3.4,42.1,33.9,87.8,51.1,13.8,9.9,
Bryant Reeves,1995-96 All-Rookie,Career,395,12.5,6.9,1.6,47.5,7.4,70.3,47.5,13.8,13,
Al Skinner,1976 ABA Champ,Career,337,9.1,3.3,2.8,45.2,27.3,81.3,45.2,13.8,13.2,
Jae'Sean Tate,2020-21 All-Rookie,Career,179,11.2,5.1,2.7,49.8,30.7,70.5,54.1,13.8,7.5,
Ronny Turiaf,2012 NBA Champ,Career,473,4.7,3.7,1.3,53.3,0,63.6,53.3,13.8,19.2,
Dave Twardzik,"1x All Star
1977 NBA Champ",Career,536,9.3,2.4,3.4,52.7,24.5,82.1,52.9,13.8,33.4,
Stacey Augmon,1991-92 All-Rookie,Career,1001,8,3.2,1.6,46.9,15.2,72.8,47,13.7,43.8,
Aron Baynes,2014 NBA Champ,Career,522,6,4.6,0.8,48.9,30.8,79.4,51.1,13.7,20.1,
Nemanja Bjelica,2022 NBA Champ,Career,449,7.6,4.6,1.8,46.6,38.4,75.9,55.6,13.7,20,
Tom Boswell,1976 NBA Champ,Career,366,7.7,4.7,1.6,53.3,54.5,72.4,53.4,13.7,15.2,
Billy Kenville,1955 NBA Champ,Career,345,7.1,3.5,2.1,36.3,,75.8,,13.7,13.7,
Brandon Knight,2011-12 All-Rookie,Career,451,14,3.1,3.9,41.1,35.2,80.7,47.6,13.7,11.6,
Henry Logan,1969 ABA Champ,Career,108,11.6,3.5,2.3,46.6,14.3,70.5,46.7,13.7,5.6,
Eddie Miles,1x All Star,Career,605,13.4,3.1,2,44,,74.7,,13.7,24.4,
Chuck Person,"1986-87 All-Rookie
1986-87 ROY",Career,943,14.7,5.1,2.8,45.8,36.2,72.3,50.8,13.7,38.9,
Jim Price,"1x All Star
1972-73 All-Rookie
1973-74 All-Defensive",Career,510,10,3.1,3.7,44.4,,81.5,,13.7,19.7,
Tayshaun Prince,"2004 NBA Champ
4x All-Defensive",Career,1017,11.1,4.3,2.4,45.5,36.7,75.6,48.3,13.7,63.1,
Gene Shue,"5x All Star
2x All-NBA",Career,699,14.4,4.1,3.7,39.6,,80.6,,13.7,38.9,
Larry Siegfried,5x NBA Champ,Career,550,10.8,2.8,3.5,40.9,,85.4,,13.7,33.1,
Willie Sojourner,1974 ABA Champ,Career,309,6,4.8,0.7,48.6,16.7,68.4,48.6,13.7,10.8,
Darrell Walker,"1993 NBA Champ
1983-84 All-Rookie",Career,720,8.9,4.4,4.6,43.5,5.9,71.3,43.5,13.7,27.4,
Bob Arnzen,1973 ABA Champ,Career,111,4,2,0.3,46.5,20,80,46.6,13.6,1.4,
Bob Arnzen,1973 ABA Champ,Career,111,4,2,0.3,46.5,20,80,46.6,13.6,1.4,
Matt Bonner,2x NBA Champ,Career,792,5.8,3,0.7,46.4,41.4,78,57,13.6,38.5,
Tyus Edney,1995-96 All-Rookie,Career,226,7.6,1.7,4,40.5,32.2,80.6,42.8,13.6,6.8,
Jerry Fleishman,1947 BAA Champ,Career,262,5.8,4.6,1.6,27.7,,63.8,,13.6,7.8,
Rick Fox,"3x NBA Champ
1991-92 All-Rookie",Career,930,9.6,3.8,2.8,45,34.9,77,50.1,13.6,44.7,
Jalen Green,2021-22 All-Rookie,Career,143,19.9,3.6,3.2,42,34,79,49.5,13.6,2.5,
Dave Greenwood,"1990 NBA Champ
1979-80 All-Rookie",Career,823,10.2,7.9,2,47.7,13.8,76.5,47.8,13.6,46.4,
Tim Hardaway Jr.,2013-14 All-Rookie,Career,657,14,2.9,1.9,42,36.1,80.8,51.6,13.6,28.1,
Bill Hosket,1970 NBA Champ,Career,143,4,2.5,0.7,48.5,,71.5,,13.6,3.2,
Nenad Krsti?,2004-05 All-Rookie,Career,419,10,5.4,0.8,49.4,14.3,73,49.4,13.6,21.5,
Jon McGlocklin,"1x All Star
1971 NBA Champ",Career,792,11.6,2.4,2.9,48.9,,84.5,,13.6,47.1,
Will Perdue,4x NBA Champ,Career,792,4.7,4.9,0.8,51.5,6.7,57.7,51.6,13.6,26.6,
Stanley Roberts,1991-92 All-Rookie,Career,300,8.5,5.2,0.6,49.9,0,51.4,49.9,13.6,8.1,
Guy Rodgers,"Hall of Fame
4x All Star
2x AST Champ",Career,892,11.7,4.3,7.8,37.8,,72.1,,13.6,33.3,
Tree Rollins,"1982-83 BLK Champ
2x All-Defensive",Career,1156,5.4,5.8,0.6,52.2,0,70,52.2,13.6,63.9,
Jamaal Tinsley,2001-02 All-Rookie,Career,547,8.5,2.9,6.1,39.3,29.9,71.6,43.7,13.6,17.2,
Art Williams,1974 NBA Champ,Career,548,5.3,3.1,4.4,41,-,72.9,41,13.6,17.7,
Marvin Williams,2005-06 All-Rookie,Career,1072,10.2,5.2,1.3,44.3,36.1,80.8,50.2,13.6,65.1,
Max Zaslofsky,"1x All Star
1947-48 Scoring Champ
4x All-BAA/NBA",Career,540,14.8,2.8,2,34.3,,76.9,,13.6,48.3,
Scott Burrell,1998 NBA Champ,Career,383,6.9,3.5,1.4,41.8,37.3,72.3,49.1,13.5,16.4,
Michael Carter-Williams,"2013-14 ROY
2013-14 All-Rookie",Career,395,10.2,4.3,4.3,40.2,25.6,70.5,42.6,13.5,6.6,
Dick Hemric,1957 NBA Champ,Career,138,6.3,5.1,0.7,37.7,,66.9,,13.5,5.3,
Wil Jones,"1x All Star
1975 ABA Champ
1974-75 All-Defensive",Career,725,11.7,7.7,2,45.9,14.3,73.3,45.9,13.5,37.2,
Gene Littles,1975 ABA Champ,Career,450,9,3.3,3,47.6,24,73.8,48,13.5,23.4,
Jamaal Magloire,1x All Star,Career,680,7.2,6.5,0.6,48,0,63.9,48,13.5,27.7,
Monk Meineke,1952-53 ROY,Career,343,6.8,4.7,1.3,36.7,,75.6,,13.5,14.9,
Larry Miller,1968-69 All-Rookie,Career,486,13.6,5,2.4,43.2,24.8,72.4,43.9,13.5,19.5,
Patty Mills,2014 NBA Champ,Career,860,9,1.7,2.3,42.6,38.9,85.4,54,13.5,35.7,
Markieff Morris,2020 NBA Champ,Career,750,10.6,5,1.6,44.6,34.3,77.8,49.2,13.5,27.5,
Rick Mount,1972 ABA Champ,Career,283,11.8,1.7,2.4,43.3,31.7,82,45.3,13.5,10.5,
Harthorne Wingo,1973 NBA Champ,Career,212,4.8,3.5,0.6,45.9,,70.2,,13.5,6.2,
Lonzo Ball,2017-18 All-Rookie,Career,252,11.9,5.7,6.2,40,36.4,57.8,50.7,13.4,11.4,
Quinn Buckner,"1984 NBA Champ
4x All-Defensive",Career,719,8.2,2.7,4.3,46.1,18.4,65.7,46.1,13.4,24.7,
Marquese Chriss,2016-17 All-Rookie,Career,292,7.6,4.7,1,45.6,29,66.7,50,13.4,6.5,
Ollie Darden,1970 ABA Champ,Career,223,9.2,6.2,1,43.5,18.2,69.5,43.6,13.4,7.7,
Terence Davis,2019-20 All-Rookie,Career,227,8,2.7,1.3,43.4,36.6,82.6,54.2,13.4,5.4,
Michael Dickerson,1998-99 All-Rookie,Career,212,15.4,2.9,2.6,43.2,40.2,78.4,48.3,13.4,9.6,
Festus Ezeli,2015 NBA Champ,Career,170,4.2,4.3,0.4,51.3,-,55.7,51.3,13.4,5.9,
Marcus Fizer,2000-01 All-Rookie,Career,289,9.6,4.6,1.2,43.5,19.1,69.1,43.9,13.4,2.7,
Darnell Hillman,2x ABA Champ,Career,682,9.8,7.6,1.4,47.7,16.7,62.8,47.7,13.4,31.1,
Robert Horry,"7x NBA Champ
1992-93 All-Rookie",Career,1107,7,4.8,2.1,42.5,34.1,72.6,48.4,13.4,66.3,
Michael Kidd-Gilchrist,2012-13 All-Rookie,Career,446,8.4,5.4,1.2,47.4,27.2,71.5,47.8,13.4,21,
O.J. Mayo,2008-09 All-Rookie,Career,547,13.8,3.1,2.9,42.9,37.3,82,49.4,13.4,21.8,
Chris Mihm,2000-01 All-Rookie,Career,436,7.5,5.3,0.5,45.9,23.1,70.4,45.9,13.4,13.3,
Charles Oakley,"1x All Star
1985-86 All-Rookie
2x All-Defensive",Career,1282,9.7,9.5,2.5,47.1,25.3,76.1,47.4,13.4,89.7,
Red Rocha,"2x All Star
1955 NBA Champ",Career,586,10.9,6.6,2,37,,75.9,,13.4,47.9,
Malik Rose,2x NBA Champ,Career,813,6.2,4.1,0.8,43.7,17.7,74.3,43.8,13.4,26.5,
Dennis Scott,1990-91 All-Rookie,Career,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4,
Derrick Williams,2011-12 All-Rookie,Career,428,8.9,4,0.7,43.4,30,71,47.5,13.4,14.1,
Aaron Brooks,2009-10 Most Improved,Career,645,9.7,1.7,3,41.3,37,83.7,48.8,13.3,19.2,
Jordan Farmar,2x NBA Champ,Career,504,7.7,1.9,2.9,42.3,37.4,73.9,50.7,13.3,13.9,
Channing Frye,"2016 NBA Champ
2005-06 All-Rookie",Career,890,8.7,4.5,1,44,38.8,82.2,51.9,13.3,38.9,
Joe Hamilton,1970-71 All-Rookie,Career,344,12,2.6,3.5,40.8,31.2,80.7,44,13.3,12.4,
Lew Hitch,2x NBA Champ,Career,414,5,5.3,1.2,37.6,,67.4,,13.3,15.1,
Dennis Hopson,1991 NBA Champ,Career,334,10.9,2.8,1.6,43.1,27.1,76.5,44,13.3,7.1,
Stanislav Medvedenko,2x NBA Champ,Career,263,5.3,2.8,0.5,45,15.4,74,45.1,13.3,6,
Rasho Nesterovi?,2005 NBA Champ,Career,811,6.8,5.1,1,50.2,7.7,58.5,50.2,13.3,39.9,
Jack Nichols,1957 NBA Champ,Career,505,10.4,6.9,1.9,36.8,,75.2,,13.3,23.8,
Morris Peterson,2000-01 All-Rookie,Career,711,10.7,3.5,1.5,41.8,37.3,77.3,49.5,13.3,35.7,
Fred Scolari,"2x All Star
2x All-BAA",Career,534,11.3,2.7,2.6,32.1,,81.8,,13.3,33.5,
Scott Williams,3x NBA Champ,Career,746,5.1,4.7,0.6,46.7,11.1,72.1,46.8,13.3,26.4,
OG Anunoby,"2022-23 STL Champ
2019 NBA Champ
2022-23 All-Defensive",Career,368,11.6,4.3,1.5,47.1,37.5,74.4,55.8,13.2,22.2,1
Derrek Dickey,1975 NBA Champ,Career,321,6.1,4.9,1.1,47,,74.5,,13.2,11.1,
Leroy Ellis,1972 NBA Champ,Career,1048,9.7,8.3,1.3,44.2,,72.8,,13.2,46.3,
Eddie House,2008 NBA Champ,Career,717,7.5,1.7,1.6,40.9,39,85.1,49,13.2,20,
Jonas Jerebko,2009-10 All-Rookie,Career,635,6.2,4,0.8,45.7,36.3,77,52,13.2,25.8,
George Karl,Hall of Fame,Career,264,6.5,1.4,3,46.5,22.2,78,46.9,13.2,7.7,
Tyronn Lue,2x NBA Champ,Career,554,8.5,1.7,3.1,43.7,39.1,82.9,49.4,13.2,19.7,
Jordan McRae,2016 NBA Champ,Career,123,6.9,1.8,1.4,41.7,35.5,77.2,47.4,13.2,1.7,
Tom Meschery,1x All Star,Career,778,12.7,8.6,1.7,44.1,,74.5,,13.2,43.6,
Don Ohl,5x All Star,Career,727,15.9,3,3.1,43.4,,73.2,,13.2,30.2,
Jerry Sloan,"Hall of Fame
2x All Star
6x All-Defensive",Career,755,14,7.4,2.5,42.7,,72.2,,13.2,49.5,
Billy Thompson,1987 NBA Champ,Career,300,8.6,5.4,1.7,50.5,15.4,67.4,50.5,13.2,9.6,
Trevor Ariza,2009 NBA Champ,Career,1118,10.4,4.8,2.1,42.2,35.1,73.1,50.4,13.1,64.3,1
Chucky Atkins,1999-00 All-Rookie,Career,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9,
Don Buse,"2x All Star
1976-77 AST Champ
1976-77 STL Champ
1973 ABA Champ
6x All-Defensive
1975-76 All-ABA",Career,966,7.1,2.7,4.6,44,33,77.9,46.5,13.1,57.1,
Robert Covington,2017-18 All-Defensive,Career,585,11.1,5.6,1.5,40.8,36.2,81.1,52.4,13.1,30.3,
Mario Elie,3x NBA Champ,Career,732,8.6,2.8,2.6,47.3,36.5,85.4,53.7,13.1,48.9,
Jeff Green,"2023 NBA Champ
2007-08 All-Rookie",Career,1107,12.4,4.2,1.5,44.9,33.7,80.3,50,13.1,52,
Wayne Hightower,1x All Star,Career,565,11.6,7,1.7,38.1,0,75.2,38.1,13.1,18.8,
Eddie Jordan,1982 NBA Champ,Career,420,8.1,1.9,3.8,41.4,22.4,76.3,41.8,13.1,8.8,
Steve Kerr,5x NBA Champ,Career,910,6,1.2,1.8,47.9,45.4,86.4,56.4,13.1,47.2,
Jamario Moon,2007-08 All-Rookie,Career,286,6.3,4.3,1,46.1,32.9,80.3,51.8,13.1,14.3,
Kurt Rambis,4x NBA Champ,Career,880,5.2,5.6,1.1,53.4,0,68.9,53.4,13.1,38.3,
Ish Smith,2023 NBA Champ,Career,762,7.3,2.4,3.8,42.9,32.3,67.6,45.7,13.1,14.1,
Maurice Taylor,1997-98 All-Rookie,Career,534,11,4.6,1.2,46.6,15.2,71.1,46.7,13.1,9.9,
Al Tucker,1967-68 All-Rookie,Career,352,10.1,4.9,1,45.6,37.1,72.7,46.1,13.1,11.1,
P.J. Washington,2019-20 All-Rookie,Career,260,12.9,5.5,2.3,45,36.6,71.1,53.2,13.1,10.6,
Chuck Williams,2x All Star,Career,638,10.8,2.3,4.5,46.7,29.1,79,46.9,13.1,32.8,
Larry Wright,1978 NBA Champ,Career,343,8.2,1.6,3.4,46.5,26.1,77.7,46.6,13.1,10.6,
Greg Anderson,1987-88 All-Rookie,Career,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13,18.7,
Isaac Austin,1996-97 Most Improved,Career,432,7.6,4.7,1.2,44.6,17.6,67,44.8,13,9.2,
Ron Brewer,1978-79 All-Rookie,Career,501,11.9,1.9,1.8,45.9,24.8,82.4,46.2,13,17.3,
Rui Hachimura,2019-20 All-Rookie,Career,210,12.5,5,1.3,48,34.7,77,52,13,7.2,
Lionel Hollins,"1x All Star
1977 NBA Champ
1975-76 All-Rookie
2x All-Defensive",Career,673,11.6,2.4,4.5,44.4,14.9,74.1,44.5,13,22.9,
Ronnie Lester,1985 NBA Champ,Career,250,7.3,1.9,4,46.9,22.7,78.8,47,13,6.3,
Ian Mahinmi,2011 NBA Champ,Career,618,5.2,4.4,0.6,53.3,16,61.2,53.5,13,26.1,
Wes Matthews,2x NBA Champ,Career,465,7.9,1.3,4.2,47.8,22.5,78.8,48.4,13,11,
Kendrick Nunn,2019-20 All-Rookie,Career,193,12.1,2.4,2.4,45.1,36.2,87.6,53.4,13,5.1,
Larry Stewart,1991-92 All-Rookie,Career,270,7.4,4,1.3,50.9,20.5,75.3,51.2,13,9.7,
Tom Van Arsdale,"3x All Star
1965-66 All-Rookie",Career,929,15.3,4.2,2.2,43.1,,76.2,,13,36.6,
Paul Walther,1x All Star,Career,370,7.7,3.7,2.6,36.2,,70.8,,13,20.3,
Marquis Daniels,2003-04 All-Rookie,Career,548,7.9,2.8,1.8,45.1,23.5,72.1,46.4,12.9,16.5,
Boris Diaw,"2014 NBA Champ
2005-06 Most Improved",Career,1064,8.6,4.4,3.5,49.3,33.6,71.7,52.4,12.9,51.6,
Bill Gabor,1x All Star,Career,307,9.8,1.8,2,34.4,,73.7,,12.9,11.2,
Kevin Grevey,1978 NBA Champ,Career,672,11,2.4,1.9,43.7,33.4,81.7,44.8,12.9,26.5,
Udonis Haslem,"3x NBA Champ
2003-04 All-Rookie",Career,879,7.5,6.6,0.8,48.9,12.7,75.6,48.9,12.9,50.9,
Joe Hassett,1979 NBA Champ,Career,292,5.9,1.1,1.3,42.1,33.6,86.1,47.8,12.9,6.4,
Curtis Rowe,1x All Star,Career,590,11.6,7.2,1.6,48.2,,70.1,,12.9,34.1,
Bobby Simmons,2004-05 Most Improved,Career,466,9,3.8,1.5,43.7,39.6,82.3,49,12.9,20.1,
Trent Tucker,1993 NBA Champ,Career,756,8.2,2,2,46.1,40.8,75.4,51.2,12.9,34.3,
Nick Young,2018 NBA Champ,Career,720,11.4,2,1,41.8,37.6,83.6,49.3,12.9,18.6,
Bruce Brown,2023 NBA Champ,Career,349,8.5,4.2,2.4,48.2,34.1,74.9,52.4,12.8,17,
Michael Cooper,"5x NBA Champ
8x All-Defensive
1986-87 Def. POY",Career,873,8.9,3.2,4.2,46.9,34,83.3,50.2,12.8,52.5,
Blue Edwards,1989-90 All-Rookie,Career,704,10.8,3.4,2,47.5,33.5,77.9,49.9,12.8,24.2,
Tom Henderson,1978 NBA Champ,Career,650,9.4,2.3,4.8,43.3,0,73.9,43.3,12.8,22.1,
Kirk Hinrich,"2003-04 All-Rookie
2006-07 All-Defensive",Career,879,10.9,2.9,4.8,41.1,37.5,80,48,12.8,52.5,
Kyle Korver,1x All Star,Career,1232,9.7,3,1.7,44.2,42.9,87.7,57.4,12.8,73.4,
Mark Landsberger,2x NBA Champ,Career,437,5.6,6.1,0.5,48.1,0,52.2,48.1,12.8,12.2,
Aaron McKie,2000-01 Sixth Man,Career,793,7.4,3.3,2.7,43.8,35,77.9,47.5,12.8,40,
Jodie Meeks,2019 NBA Champ,Career,539,9.3,2.1,1.1,42,37.3,87.9,51.7,12.8,24.3,
Rick Robey,1981 NBA Champ,Career,493,7.6,4.7,1.2,50.1,12.5,65,50.1,12.8,15.8,
Sam Robinson,1970-71 All-Rookie,Career,134,9.1,4.1,1.2,44.4,19,77.7,44.6,12.8,1.9,
John Salley,4x NBA Champ,Career,748,7,4.5,1.2,50.6,21.4,71.4,50.6,12.8,41.5,
Nick Weatherspoon,1973-74 All-Rookie,Career,453,9,4.9,0.9,45.5,-,71.3,45.5,12.8,15.2,
Sharone Wright,1994-95 All-Rookie,Career,203,9.7,5,0.6,45.6,8.3,61.8,45.6,12.8,1.4,
Matt Barnes,2017 NBA Champ,Career,929,8.2,4.6,1.8,43.6,33.5,74.5,51.3,12.7,42.8,
Willie Burton,1990-91 All-Rookie,Career,316,10.3,2.9,1.2,42.4,34.5,78.6,45.2,12.7,9.1,
Brian Cardinal,2011 NBA Champ,Career,456,4.6,2.3,1,40.8,37.2,86.1,48.2,12.7,15.4,
Mario Chalmers,"2x NBA Champ
2008-09 All-Rookie",Career,646,8.9,2.5,3.7,41.7,35.1,79.3,49.8,12.7,32.3,
Donte DiVincenzo,2021 NBA Champ,Career,273,9.1,4.6,2.8,42,36.2,77.7,52.9,12.7,13.4,
Kevin Edwards,1988-89 All-Rookie,Career,604,10.9,2.7,2.7,42.3,33.5,80.3,43.7,12.7,12.5,
Clemon Johnson,1983 NBA Champ,Career,761,5.4,4.6,1,49.2,0,62.1,49.2,12.7,25.5,
Desmond Mason,2000-01 All-Rookie,Career,643,12.1,4.5,1.6,44.9,26,74,45.4,12.7,23.1,
Vernon Maxwell,2x NBA Champ,Career,855,12.8,2.6,3.4,39.8,32,73.3,46.2,12.7,27.4,
Joe Meriweather,1975-76 All-Rookie,Career,670,8.1,5.6,0.9,51.1,33.3,68.7,51.1,12.7,27.6,
Vladimir Radmanovi?,2001-02 All-Rookie,Career,737,8,3.8,1.4,41.5,37.8,75.8,50.9,12.7,26.5,
Larry Steele,"1973-74 STL Champ
1977 NBA Champ",Career,610,8.2,2.9,2.8,48.3,0,79.6,48.3,12.7,28.2,
Samaki Walker,2002 NBA Champ,Career,445,5.3,4.7,0.6,46.2,11.1,63,46.2,12.7,14.2,
Shane Battier,"2x NBA Champ
2001-02 All-Rookie
2x All-Defensive",Career,977,8.6,4.2,1.8,43.7,38.4,74.3,52.9,12.6,75.7,
Steve Bracey,1975 NBA Champ,Career,187,6.1,1.6,2.2,46.6,,68.4,,12.6,3.9,
Larry Bunce,1x All Star,Career,129,8.9,6.4,0.7,42,0,71.6,42,12.6,4.3,
Jim Cleamons,"1972 NBA Champ
1975-76 All-Defensive",Career,652,8.3,3,3.9,46,22.6,76.5,46.1,12.6,29.1,
Franklin Edwards,1983 NBA Champ,Career,296,6.1,1,2.6,44.9,3,79.5,44.9,12.6,3.9,
Hank Finkel,1974 NBA Champ,Career,551,5.1,3.9,0.8,44.9,,66.2,,12.6,13.5,
Danny Green,"3x NBA Champ
2016-17 All-Defensive",Career,830,8.7,3.4,1.5,42.1,40,80.5,55.2,12.6,49.3,
Jelani McCoy,2002 NBA Champ,Career,260,4.6,3.5,0.5,53.9,-,49,53.9,12.6,5.1,
Gary Neal,2010-11 All-Rookie,Career,352,9.9,2.2,1.6,42.2,38.2,85,49.8,12.6,10.7,
Zeke Nnaji,2023 NBA Champ,Career,136,5,2.6,0.3,52.7,38.2,65.5,60.7,12.6,4.3,
Mark Olberding,1975-76 All-Rookie,Career,946,9.5,5.3,2.5,49.2,12.2,80.8,49.2,12.6,48,
John Roche,1971-72 All-Rookie,Career,479,11.2,1.5,3.9,46.9,35.5,79.2,49,12.6,19.8,
Larry Smith,1980-81 All-Rookie,Career,883,6.7,9.2,1.1,53.1,0,53.1,53.1,12.6,46,
Ron Thomas,1975 ABA Champ,Career,264,4,4.1,0.8,46.8,21.4,53.6,47,12.6,7.4,
Bird Averitt,1975 ABA Champ,Career,366,12.1,1.9,2.9,40.5,24.9,74.3,41.2,12.5,3.9,
Jim Barnes,"1969 NBA Champ
1964-65 All-Rookie",Career,454,8.8,6.5,0.8,42.9,,68.4,,12.5,14.2,
Jason Caffey,2x NBA Champ,Career,462,7.3,4.4,0.9,48.1,0,63.7,48.1,12.5,13.5,
Jared Dudley,2020 NBA Champ,Career,904,7.3,3.2,1.5,46.3,39.3,73.2,54.8,12.5,43,
Ryan Gomes,2005-06 All-Rookie,Career,487,10.1,4.6,1.5,44.5,34.9,79.9,48.4,12.5,19.4,
Ira Harge,1969 ABA Champ,Career,427,10.3,11.6,1.7,45,33.3,66.1,45,12.5,16.3,
Talen Horton-Tucker,2020 NBA Champ,Career,196,9.8,3,3,43.1,28,77,47.5,12.5,4.1,
Phil Jackson,"Hall of Fame
2x NBA Champ
1967-68 All-Rookie",Career,807,6.7,4.3,1.1,45.3,0,73.6,45.3,12.5,29.3,
Charles Johnson,2x NBA Champ,Career,521,8.1,2.5,1.9,42.9,,75.6,,12.5,13.4,
Reggie Johnson,1983 NBA Champ,Career,305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11,
Wendell Ladner,"2x All Star
1974 ABA Champ
1970-71 All-Rookie",Career,300,11.6,8.3,2.1,38.6,25.2,71.2,40,12.5,3.6,
Shaun Livingston,3x NBA Champ,Career,833,6.3,2.4,3,48.6,17.8,79.4,48.8,12.5,29.9,
Ted McClain,"1x All Star
2x ABA Champ
1973-74 All-Defensive",Career,555,8.4,2.9,3.4,44.9,21.8,76.7,45.3,12.5,21.2,
Ron Mercer,1997-98 All-Rookie,Career,432,13.6,3.1,2.1,42.9,25,80.8,43.4,12.5,9.4,
Eric Riley,1994 NBA Champ,Career,186,3.1,2.6,0.3,45.6,0,70.4,45.6,12.5,2.5,
Bob Weiss,1967 NBA Champ,Career,783,7.6,1.8,3.7,42.8,,82.8,,12.5,31.2,
Jeff Ayres,2014 NBA Champ,Career,237,2.9,2.7,0.4,55.3,40,77.6,55.5,12.4,6.3,
Mike Barrett,1969-70 All-Rookie,Career,187,13.4,3.2,3.9,44,31,74.6,46.1,12.4,7.4,
Shannon Brown,2x NBA Champ,Career,408,7.6,1.9,1.1,42,33.2,80.7,46.8,12.4,9.2,
Glen Davis,2008 NBA Champ,Career,514,8,4.4,0.9,44.7,18.2,70,44.8,12.4,18.6,
George Dempsey,1956 NBA Champ,Career,315,5,3.6,2.3,40.7,,66.1,,12.4,10.8,
Mike Gale,"1974 ABA Champ
2x All-Defensive",Career,842,7.4,2.9,3.7,46.4,18.7,78.1,46.6,12.4,34.6,
Paul Hoffman,"1948 BAA Champ
1947-48 ROY *",Career,317,10.2,5.1,2.9,34,,67.6,,12.4,12.4,
Ron Lee,"1977-78 STL Champ
1976-77 All-Rookie",Career,448,7.3,2.7,3.8,41.6,32.1,70.5,42.3,12.4,10.7,
James Posey,"2x NBA Champ
1999-00 All-Rookie",Career,864,8.6,4.7,1.6,41,34.9,82,49.5,12.4,51.6,
Frank Selvy,2x All Star,Career,565,10.8,3.7,2.8,39.4,,72.8,,12.4,23.8,
Marcus Smart,"2014-15 All-Rookie
3x All-Defensive
2021-22 Def. POY",Career,581,10.6,3.5,4.6,38.6,32.3,77.7,47.1,12.4,33.3,
Patrick Beverley,3x All-Defensive,Career,593,8.5,4.2,3.4,41.3,37.3,75.4,51.9,12.3,37.5,
Henry Bibby,1973 NBA Champ,Career,675,8.6,2.3,3.3,42.4,29.3,78.2,42.8,12.3,24.5,
Quinn Cook,2x NBA Champ,Career,188,6.4,1.7,1.6,46.1,40.8,79.5,54.8,12.3,4.1,
Dwight Davis,1972-73 All-Rookie,Career,340,8.6,5.9,1.6,42.3,,73,,12.3,11.4,
Jack George,"2x All Star
1956 NBA Champ
1955-56 All-NBA",Career,506,10.2,4.2,4.3,36.4,,70.4,,12.3,17.7,
Luther Head,2005-06 All-Rookie,Career,348,8.2,2.4,2.1,42.3,38.8,77.3,51.5,12.3,14.7,
Darrall Imhoff,1x All Star,Career,801,7.2,7.6,1.8,45.8,,59.4,,12.3,30.1,
Randy Mahaffey,1x All Star,Career,321,11.9,8,1.6,44.5,0,68.4,44.5,12.3,16.7,
Darko Mili?i?,2004 NBA Champ,Career,468,6,4.2,0.9,46,0,57.4,46,12.3,7.1,
Mike Riordan,"1970 NBA Champ
1972-73 All-Defensive",Career,639,9.9,2.9,2.4,47,,74.4,,12.3,33.2,
Marv Roberts,1975 ABA Champ,Career,402,8.3,3.9,1.3,43.3,33.3,77.3,43.4,12.3,11.4,
Al Thornton,2007-08 All-Rookie,Career,296,11.9,4.2,1.2,45.2,29.3,74.7,46.5,12.3,6.1,
Marco Belinelli,2014 NBA Champ,Career,860,9.7,2.1,1.7,42.4,37.6,84.6,51.1,12.2,30.5,
Bill Bradley,"Hall of Fame
1x All Star
2x NBA Champ",Career,742,12.4,3.2,3.4,44.8,,84,,12.2,38.8,
Jim Brewer,"1982 NBA Champ
2x All-Defensive",Career,703,5.8,6.3,1.5,44.8,7.7,57.1,44.8,12.2,29.3,
Ernie DiGregorio,"1973-74 AST Champ
1973-74 All-Rookie
1973-74 ROY",Career,312,9.6,2,5.1,41.5,,90.2,,12.2,2.5,
Keith Erickson,1972 NBA Champ,Career,766,9.5,4.5,2.6,43.5,,76.9,,12.2,25.2,
Yogi Ferrell,2016-17 All-Rookie,Career,259,7.7,2.1,2.3,42,36.5,83.5,50.4,12.2,7.7,
Chris Ford,1981 NBA Champ,Career,794,9.2,3,3.4,46,37.5,73.1,46.9,12.2,35.6,
Kevin Huerter,2018-19 All-Rookie,Career,349,12.2,3.5,3.1,44.4,38.5,76.6,55,12.2,14.3,
Herbert Jones,2021-22 All-Rookie,Career,144,9.7,3.9,2.3,47.3,33.6,80.2,52.5,12.2,8.9,
McCoy McLemore,1971 NBA Champ,Career,580,8.8,5.5,1.3,39.4,,77.1,,12.2,9.5,
Adrian Smith,"1x All Star
1965-66 AS MVP",Career,772,11.3,2.1,2.3,43,18.2,83.8,43,12.2,33.2,
Eric Snow,2002-03 All-Defensive,Career,846,6.8,2.5,5,42.4,20.8,76.3,43,12.2,43.4,
Coby White,2019-20 All-Rookie,Career,269,12.6,3.4,3.3,41.9,36.7,85.4,51.5,12.2,8.8,
